ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
67,accurate,دقیق; صحیح,准确的 (zhǔnquè de),सटीक (saṭīk),preciso,précis,دقيق (daqīq),সঠিক (sothik),preciso,точный,صحیح (sahīh),akurat,genau,正確な (seikakuna),sahihi,अचूक (acūk),ఖచ్చితమైన (khaccitamaina),doğru; kesin,정확한 (jeonghwaghan),accurato
68,accurately,به درستی; با دقت,准确地 (zhǔnquè de),सटीक रूप से (saṭīk rūp se),con precisión,précisément,بدقة (bidiqqah),সঠিকভাবে (sothikbhabe),com precisão,точно,صحیح طور پر (sahīh taur par),dengan akurat,genau,正確に (seikaku ni),kwa usahihi,अचूकपणे (acūkapaṇē),ఖచ్చితంగా (khaccitaṅgā),doğru bir şekilde,정확하게 (jeonghwaghage),accuratamente
69,accusation,اتهام,指控 (zhǐkòng),आरोप (ārop),acusación,accusation,اتهام (ittihām),অভিযোগ (obhijog),acusação,обвинение,الزام (ilzām),tuduhan,Anschuldigung,告発 (kokuhatsu),shtaka,आरोप (ārōpa),ఆరోపణ (ārōpaṇa),suçlama,고발; 비난 (gobal; binan),accusa
70,accuse,متهم کردن,指控 (zhǐkòng),आरोप लगाना (ārop lagānā),acusar,accuser,يتهم (yattahimu),অভিযোগ করা (obhijog kora),acusar,обвинять,الزام لگانا (ilzām lagānā),menuduh,beschuldigen,告発する (kokuhatsu suru),kushtaki,आरोप लावणे (ārōpa lāvaṇē),ఆరోపించు (ārōpin̄cu),suçlamak,고발하다 (gobalhada),accusare
71,accused,متهم,被告 (bèigào),अभियुक्त (abhiyukt),acusado,accusé,المتهم (al-muttaham),অভিযুক্ত (obhijukto),acusado,обвиняемый,ملزم (mulzim),terdakwa,Angeklagter,被告人 (hikokunin),mshtakiwa,आरोपी (ārōpī),నిందితుడు (nindituḍu),sanık; suçlanan,피고인 (pigoin),imputato
72,accustom,عادت دادن,使习惯 (shǐ xíguàn),आदी बनाना (ādī banānā),acostumbrar,habituer,يعوّد (yuʿawwidu),অভ্যস্ত করানো (obhyosto korano),acostumar,приучать,عادی بنانا (ʿādī banānā),membiasakan,gewöhnen,慣れさせる (naresaseru),kuzoesha,सवय लावणे (savaya lāvaṇē),అలవాటు చేయు (alavāṭu cēyu),alıştırmak,익숙하게 하다 (igsughage hada),abituare
73,accustomed,خو گرفته; عادت کرده,习惯的 (xíguàn de),आदी (ādī),acostumbrado,habitué,معتاد (muʿtād),অভ্যস্ত (obhyosto),acostumado,привыкший,عادی (ʿādī),terbiasa,gewöhnt,慣れている (nareteiru),aliyezoea,सवयीचा (savayīcā),అలవాటుపడిన (alavāṭupaḍina),alışkın,익숙한 (igsughan),abituato
74,ache,درد; درد کردن,疼痛 (téngtòng),दर्द (dard),doler; dolor,avoir mal; douleur,ألم (alam),ব্যথা (bêtha),doer; dor,болеть; боль,درد (dard),sakit; nyeri,schmerzen; Schmerz,痛む (itamu); 痛み (itami),kuuma; maumivu,दुखणे (dukhaṇē); वेदना (vēdanā),నొప్పి (noppi),ağrı; sızı,아프다; 아픔 (apeuda; apeum),far male; dolore
75,achievable,قابل دستیابی,可实现的 (kě shíxiàn de),प्राप्य (prāpya),alcanzable,réalisable,يمكن تحقيقه (yumkin taḥqīquhu),অর্জনযোগ্য (orjonjog-go),alcançável,достижимый,قابل حصول (qābil-e-husūl),dapat dicapai,erreichbar,達成可能な (tassei kanōna),inayowezekana kufikiwa,साध्य (sādhya),సాధించగల (sādhin̄cagala),ulaşılabilir; başarılabilir,달성할 수 있는 (dalseonghal su issneun),raggiungibile
76,achieve,دست یافتن; به انجام رساندن,实现 (shíxiàn),हासिल करना (hāsil karnā),lograr,atteindre,يحقق (yuḥaqqiqu),অর্জন করা (orjon kora),alcançar,достигать,حاصل کرنا (hāsil karnā),mencapai,erreichen,達成する (tassei suru),kufikia,साध्य करणे (sādhya karaṇē),సాధించు (sādhin̄cu),elde etmek; başarmak,달성하다 (dalseonghada),raggiungere
77,achievement,دستاورد,成就 (chéngjiù),उपलब्धि (uplabdhi),logro,réussite,إنجاز (injāz),কৃতিত্ব (krititto),conquista,достижение,کامیابی (kāmyābī),prestasi,Leistung; Erfolg,業績 (gyōseki),mafanikio,यश (yaśa),విజయం (vijayaṁ),başarı,성취 (seongchwi),successo; risultato
78,acid,اسید; اسیدی,酸 (suān),अम्ल (aml),ácido,acide,حمض (ḥamḍ),অ্যাসিড (êসিড),ácido,кислота,تیزاب (tezāb),asam,Säure,酸 (san),asidi,आम्ल (āmla),ఆమ్లం (āmlaṁ),asit,산 (san),acido
79,acidic,اسیدی,酸性的 (suānxìng de),अम्लीय (amlīya),ácido,acide,حمضي (ḥamḍī),অম্লীয় (omliyo),ácido,кислый,تیزابی (tezābī),bersifat asam,sauer,酸性の (sansei no),enye asidi,आम्लयुक्त (āmlayukta),ఆమ్ల (āmla),asidik,산성의 (sanseong-ui),acido
80,acknowledge,تصدیق کردن; اذعان کردن,承认 (chéngrèn),स्वीकार करना (svīkār karnā),reconocer,reconnaître,يعترف ب (yaʿtarifu bi),স্বীকার করা (shikar kora),reconhecer,признавать,تسلیم کرنا (taslīm karnā),mengakui,anerkennen,認める (mitomeru),kukiri,मान्य करणे (mānya karaṇē),ఒప్పుకొను (oppukonu),onaylamak; kabul etmek,인정하다 (injeonghada),riconoscere
81,acknowledgment,قدردانی; تصدیق,承认 (chéngrèn); 感谢 (gǎnxiè),पावती (pāvatī),reconocimiento,reconnaissance,اعتراف (iʿtirāf); شكر (shukr),স্বীকৃতি (shikriti),reconhecimento,признание; благодарность,اعتراف (i'tirāf); شکریہ (shukriya),pengakuan,Anerkennung; Bestätigung,承認 (shōnin); 謝辞 (shaji),utambuzi; shukrani,पोचपावती (pōcapāvatī),ఒప్పుకోలు (oppukōlu),onay; teşekkür,인정; 감사 (injeong; gamsa),riconoscimento
82,acoustic,صوتی; آکوستیک,声学的 (shēngxué de),ध्वनिक (dhvanik),acústico,acoustique,صوتي (ṣawtī),শাব্দিক (shabdik),acústico,акустический,صوتی (sautī),akustik,akustisch,音響の (onkyō no),akustika,ध्वनिक (dhvanika),శబ్ద (śabda),akustik,음향의 (eumhyang-ui),acustico
83,acoustically,از نظر صوتی,声学上 (shēngxué shàng),ध्वनिक रूप से (dhvanik rūp se),acústicamente,acoustiquement,صوتيا (ṣawtiyyan),শাব্দিকভাবে (shabdikbhabe),acusticamente,акустически,صوتی طور پر (sautī taur par),secara akustik,akustisch,音響的に (onkyōteki ni),kiakustika,ध्वनिकदृष्ट्या (dhvanikadr̥ṣṭyā),శబ్దపరంగా (śabdaparaṅgā),akustik olarak,음향적으로 (eumhyangjeog-eulo),acusticamente
84,acoustics,علم اصوات; آکوستیک,声学 (shēngxué),ध्वनि-विज्ञान (dhvani-vigyān),acústica,acoustique,علم الصوت (ʿilm al-ṣawt),শব্দবিজ্ঞান (shobdobiggan),acústica,акустика,صوتیات (sautiyāt),akustik,Akustik,音響学 (onkyōgaku),akustika,ध्वनिकी (dhvanikī),ధ్వనిశాస్త్రం (dhvaniśāstraṁ),akustik,음향학 (eumhyanghag),acustica
85,acquaintance,آشنا,熟人 (shúrén),परिचित (parichit),conocido,connaissance,معرفة (maʿrifah),পরিচিত (porichito),conhecido,знакомый,جان پہچان (jān pehchān),kenalan,Bekannter,知り合い (shiriai),mjuaji,ओळख (ōḷakha),పరిచయం (paricayaṁ),tanıdık; aşina,아는 사람 (aneun saram),conoscente
86,acquire,به دست آوردن,获得 (huòdé),प्राप्त करना (prāpt karnā),adquirir,acquérir,يكتسب (yaktasibu),অর্জন করা (orjon kora),adquirir,приобретать,حاصل کرنا (hāsil karnā),memperoleh,erwerben,得る (eru),kupata,मिळवणे (miḷavaṇē),పొందు (pondu),edinmek; kazanmak,얻다 (eotda),acquisire
87,acquisition,اکتساب; خرید,收购 (shōugòu),अधिग्रहण (adhigrahaṇ),adquisición,acquisition,اكتساب (iktisāb),অধিগ্রহণ (odhigrohon),aquisição,приобретение,حصول (husūl),akuisisi,Erwerb; Anschaffung,取得 (shutoku),upatikanaji,संपादन (sampādana),సేకరణ (sēkaraṇa),edinme; alım,취득 (chwideug),acquisizione
88,acre,جریب,英亩 (yīngmǔ),एकड़ (ekaṛ),acre,acre,فدان (faddān),একর (ekor),acre,акр,ایکڑ (ekar),ekar,Acre,エーカー (ēkā),ekari,एकर (ēkara),ఎకరం (ekaraṁ),dönüm,에이커 (eikeo),acro
89,acreage,مساحت بر حسب جریب,英亩数 (yīngmǔshù),एकड़ में क्षेत्रफल (ekaṛ mein kṣetraphal),superficie en acres,superficie,مساحة بالفدان (misāḥah bi-l-faddān),এলাকা (elaka),área em acres,площадь в акрах,رقبہ (raqba),luas (dalam ekar),Fläche in Acre,面積 (menseki),eneo,एकर क्षेत्र (ēkara kṣētra),ఎకరాల (ekarāla),dönüm miktarı,에이커 면적 (eikeo myeonjeog),superficie (in acri)
90,acrobatic,آکروباتیک,杂技的 (zájì de),कसरती (kasratī),acrobático,acrobatique,بهلواني (bahlawānī),কসরتی (kosroti),acrobático,акробатический,قلابازانہ (qalābāzāna),akrobatik,akrobatisch,アクロバットの (akurobatto no),akrobatiki,कसरत (kasarata),విన్యాస (vin'yāsa),akrobatik,곡예의 (gog-ye-ui),acrobatico
91,acrobatically,به صورت آکروباتیک,杂技般地 (zájì bān de),कसरत से (kasrat se),acrobáticamente,acrobatiquement,بشكل بهلواني (bishakl bahlawānī),কসরতের সাথে (kosroter shathe),acrobaticamente,акробатически,قلابازانہ انداز میں (qalābāzāna andāz mein),secara akrobatik,akrobatisch,アクロバットのように (akurobatto no yōni),kiakrobatiki,कसरतीने (kasaratīnē),విన్యాసంగా (vin'yāsaṅgā),akrobatik bir şekilde,곡예적으로 (gog-yejeog-eulo),acrobaticamente
92,acrobatics,آکروباتیک,杂技 (zájì),कलाबाजी (kalābājī),acrobacias,acrobaties,ألعاب بهلوانية (alʿāb bahlawāniyyah),কসরত (kosrot),acrobacias,акробатика,قلابازی (qalābāzī),akrobatik,Akrobatik,アクロバット (akurobatto),sarakasi,कसरत (kasarata),విన్యాసాలు (vin'yāsālu),akrobasi,곡예 (gog-ye),acrobazia
93,across,از عرض; سرتاسر,穿过 (chuānguò),पार (pār),a través de,à travers,عبر (ʿabra),জুড়ে (jure),através de,через,پار (pār),di seberang,über; quer durch,横切って (yokogitte),ng'ambo ya,ओलांडून (ōlāṇḍūna),అడ్డంగా (aḍḍaṅgā),karşısında; bir uçtan bir uca,가로질러 (garojilleo),attraverso
94,act,عمل; بازی کردن,行为 (xíngwéi); 表演 (biǎoyǎn),कार्य (kārya); अभिनय करना (abhinay karnā),acto; actuar,acte; agir,فعل (fiʿl); يمثل (yumaththilu),কাজ (kaj); অভিনয় করা (obhinoy kora),ato; atuar,действие; действовать,فعل (fe'l); اداکاری کرنا (adākārī karnā),tindakan; berakting,Handlung; handeln,行為 (kōi); 演じる (enjiru),tendo; kuigiza,कृती (kr̥tī); अभिनय करणे (abhinaya karaṇē),చర్య (carya); నటించు (naṭin̄cu),eylem; hareket etmek,행위; 연기하다 (haeng-wi; yeongihada),atto; agire
95,action,عمل; اقدام,行动 (xíngdòng),कार्रवाई (kārrvāī),acción,action,إجراء (ijrāʾ),কর্ম (kormo),ação,действие,عمل (amal),aksi,Aktion; Handlung,行動 (kōdō),hatua,कृती (kr̥tī),చర్య (carya),aksiyon; eylem,행동 (haengdong),azione
96,activate,فعال کردن,激活 (jīhuó),सक्रिय करना (sakriya karnā),activar,activer,ينشط (yunashshiṭu),সক্রিয় করা (shokriyo kora),ativar,активировать,فعال کرنا (fa'āl karnā),mengaktifkan,aktivieren,有効にする (yūkō ni suru),kuwezesha,सक्रिय करणे (sakriya karaṇē),సక్రియం చేయండి (sakriyaṁ cēyaṇḍi),etkinleştirmek; çalıştırmak,활성화하다 (hwalseonghwahada),attivare
97,activation,فعال‌سازی,激活 (jīhuó),सक्रियण (sakriyaṇ),activación,activation,تنشيط (tanshīṭ),সক্রিয়করণ (shokriyokoron),ativação,активация,فعال سازی (fa'āl sāzī),aktivasi,Aktivierung,活性化 (kasseika),uwezeshaji,सक्रियता (sakriyatā),క్రియాశీలత (kriyāśīlata),aktivasyon; etkinleştirme,활성화 (hwalseonghwa),attivazione
98,active,فعال,活跃的 (huóyuè de),सक्रिय (sakriya),activo,actif,نشط (nashīṭ),সক্রিয় (shokriyo),ativo,активный,فعال (fa'āl),aktif,aktiv,活発な (kappatsuna),tendaji,सक्रिय (sakriya),చురుకైన (curukaina),aktif; faal,활동적인 (hwaldongjeog-in),attivo
99,actively,به طور فعال,积极地 (jījí de),सक्रिय रूप से (sakriya rūp se),activamente,activement,بنشاط (binashāṭ),সক্রিয়ভাবে (shokriyobhabe),ativamente,активно,فعال طور پر (fa'āl taur par),secara aktif,aktiv,積極的に (sekkyokuteki ni),kwa vitendo,सक्रियपणे (sakriyapaṇē),చురుకుగా (curukugā),aktif olarak,적극적으로 (jeoggeugjeog-eulo),attivamente
100,activist,فعال (سیاسی، اجتماعی),活动家 (huódòngjiā),कार्यकर्ता (kāryakartā),activista,militant; activiste,ناشط (nāshiṭ),কর্মী (kormi),ativista,активист,کارکن (kārkun),aktivis,Aktivist,活動家 (katsudōka),mwanaharakati,कार्यकर्ता (kāryakartā),కార్యకర్త (kāryakarta),aktivist; eylemci,활동가 (hwaldong-ga),attivista
101,activity,فعالیت,活动 (huódòng),गतिविधि (gatividhi),actividad,activité,نشاط (nashāṭ),কার্যকলাপ (karjokolap),atividade,деятельность,سرگرمی (sargarmī),aktivitas,Aktivität,活動 (katsudō),shughuli,क्रियाकलाप (kriyākalāpa),కార్యకలాపం (kāryakalāpaṁ),aktivite; faaliyet,활동 (hwaldong),attività
